Word,"CONTROL_SOBOLEVSKY","KIREEVSKY","PESENNIKI","RUSCORPORA","RUSSKIE_PESNI","SOBOLEVSKY"
"поиграть",0.0083451556,0.0168789937,0.0097727828,0.0003746561,0.0072313116,0.0135644253
"поклонник",0,0,0,0.0057268864,0,0
"проказа",0,0.0024112848,0.0048863914,0.0054057526,0,0.0003820965
"прощальный",0,0,0,0.0055663195,0.0054234837,0
"светский",0,0,0,0.0057268864,0,0
"скучать",0,0,0,0.0049240519,0.0144626232,0.0013373377
"сражаться",0,0,0,0.0057268864,0,0
"бодрый",0,0,0,0.0056198418,0,0.0001910482
"вещь",0.0041725778,0,0,0.0055663195,0,0.0001910482
"властитель",0,0,0,0.0056198418,0.0018078279,0
"восторженный",0,0,0,0.0056733641,0,0
"всечасно",0,0,0.0048863914,0.0055663195,0.0018078279,0
"горюшко",0.0250354669,0.0136639473,0,0.0001605669,0.0072313116,0.0145196665
"догадываться",0,0.0112526625,0.0146591742,0.0016056691,0,0.0112718464
"изгнанник",0,0,0,0.0056733641,0,0
"марья",0.0125177335,0.008037616,0,0.0022479367,0,0.0097434604
"открытый",0,0,0,0.0056733641,0,0
"пот",0,0.0008037616,0,0.0054057526,0,0.000764193
"примета",0,0.0032150464,0.0097727828,0.0039071281,0.0036156558,0.0047762061
"страж",0,0,0,0.0055663195,0,0.0003820965
"таять",0,0.0032150464,0,0.0047099626,0.0036156558,0.0022925789
"уверять",0,0.0064300928,0,0.0041747396,0.0072313116,0.0030567719
"утомлять",0,0,0,0.0056198418,0,0.0001910482
