"KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI" "RP_1810" "RP_1820" "RP_1830" "RP_1840" "ruscorpora_1" "ruscorpora_2" "ruscorpora_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"три" 0.19 0.135 0.225 0.112387002198876 0.0321992057529248 0.0335232986925914 0.0177793581651702 0.00846310088016249 0.035 0.055 0.03 0.21 0.19 0.235
"лес" 0.215 0.095 0.13 0.122159784998778 0.139529891596007 0.0670465973851827 0.17334874211041 0.1354096140826 0.065 0.075 0.05 0.125 0.1 0.075
"жизнь" 0.03 0.02 0.035 0.0488639139995114 0.160996028764624 0.142474019443513 0.124455507156192 0.262356127285037 0.175 0.29 0.25 0.025 0.015 0.025
"грудь" 0.025 0.035 0.05 0.0684094795993159 0.193195234517549 0.201139792155548 0.288914570184016 0.228503723764387 0.135 0.17 0.105 0.035 0.025 0.04
"тут" 0.1 0.125 0.115 0.0928414365990716 0.0214661371686165 0.0921890714046262 0.0577829140368033 0.00846310088016249 0.135 0.11 0.12 0.14 0.12 0.135
"муж" 0.155 0.14 0.15 0.151478133398485 0.0214661371686165 0 0.0888967908258512 0 0.01 0.055 0.01 0.155 0.17 0.215
"гость" 0.19 0.09 0.16 0.102614219398974 0 0.0754274220583305 0.0622277535780958 0.0846310088016249 0.035 0.04 0.04 0.175 0.165 0.155
"море" 0.12 0.105 0.085 0.161250916198387 0.0107330685843083 0.100569896077774 0.111120988532314 0.0930941096817874 0.075 0.075 0.045 0.115 0.12 0.165
"мочь" 0.04 0.045 0.055 0.073295870999267 0.225394440270473 0.134093194770365 0.124455507156192 0.0592417061611374 0.18 0.215 0.19 0.025 0.07 0.06
"хотеть" 0.09 0.09 0.095 0.0830686537991693 0.0321992057529248 0.0921890714046262 0.115565828073607 0.10155721056195 0.085 0.115 0.115 0.11 0.12 0.15
"про" 0.225 0.16 0.13 0.112387002198876 0.0321992057529248 0.0167616493462957 0.0711174326606809 0.10155721056195 0.035 0.02 0.03 0.145 0.14 0.145
"лежать" 0.135 0.16 0.165 0.112387002198876 0.042932274337233 0.0335232986925914 0.111120988532314 0.0677048070412999 0.04 0.065 0.045 0.135 0.145 0.09
