"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "CONTROL_SOBOLEVSKY_3" "KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI_1" "PESENNIKI_2" "PESENNIKI_3" "RUSCORPORA_1" "RUSCORPORA_2" "RUSCORPORA_3" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "RUSSKIE_PESNI_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"приходить" 0.14 0.11 0.08 0.08 0.08 0.07 0.08 0.06 0.12 0.05 0.07 0.03 0.05 0.07 0.03 0.11 0.16 0.1
"садиться" 0.15 0.12 0.14 0.13 0.15 0.1 0.08 0.05 0.07 0.04 0.02 0.01 0.03 0.02 0.07 0.06 0.12 0.11
"горький" 0.18 0.08 0.14 0.1 0.07 0.07 0.05 0.05 0.05 0.02 0.01 0.01 0.12 0.17 0.18 0.04 0.05 0.05
"третий" 0.16 0.21 0.13 0.18 0.1 0.14 0.09 0.05 0.06 0.01 0.02 0 0.02 0 0.01 0.05 0.1 0.11
"ветер" 0.1 0.08 0.12 0.02 0.03 0.07 0.04 0.06 0.1 0.05 0.05 0.04 0.14 0.17 0.2 0.07 0.03 0.06
"выходить" 0.07 0.1 0.15 0.09 0.11 0.08 0.09 0.1 0.04 0.02 0.04 0.04 0.04 0.06 0.03 0.12 0.15 0.1
"много" 0.07 0.04 0.06 0.03 0.04 0.09 0.08 0.06 0.08 0.09 0.05 0.08 0.19 0.15 0.11 0.07 0.06 0.08
"цветок" 0.06 0.06 0.03 0.07 0.05 0.01 0.09 0.08 0.08 0.1 0.09 0.1 0.12 0.13 0.21 0.03 0.06 0.06
"забывать" 0.11 0.09 0.12 0.04 0.05 0.03 0.09 0.06 0.05 0.14 0.1 0.05 0.12 0.09 0.15 0.02 0.07 0.03
"дочь" 0.21 0.14 0.17 0.09 0.13 0.07 0.05 0.04 0.05 0.05 0.02 0.05 0 0.03 0.01 0.09 0.11 0.09
"ворота" 0.08 0.07 0.11 0.1 0.09 0.15 0.07 0.13 0.08 0 0.01 0 0.05 0.05 0.04 0.13 0.14 0.09
"сокол" 0.11 0.08 0.1 0.11 0.1 0.07 0.07 0.05 0.08 0.01 0 0 0.06 0.11 0.11 0.08 0.1 0.14
"трава" 0.04 0.05 0.05 0.07 0.11 0.11 0.16 0.13 0.11 0.01 0.01 0.02 0.11 0.12 0.02 0.1 0.09 0.06
"дорогой" 0.09 0.1 0.12 0.1 0.06 0.09 0.13 0.15 0.14 0.02 0.01 0.03 0.04 0.09 0.04 0.06 0.05 0.04
"домой" 0.16 0.13 0.13 0.09 0.1 0.1 0.04 0.05 0.06 0.01 0.02 0 0.05 0.05 0.02 0.1 0.11 0.12
"лишь" 0.03 0 0.03 0 0.03 0.02 0.1 0.07 0.09 0.15 0.14 0.16 0.18 0.15 0.14 0.01 0.02 0.02
"брат" 0.09 0.14 0.14 0.11 0.09 0.07 0.02 0.03 0.04 0.11 0.08 0.05 0.01 0.08 0.03 0.07 0.09 0.07
"бог" 0.09 0.07 0.04 0.03 0.04 0.04 0 0.02 0.02 0.16 0.18 0.17 0.06 0.11 0.08 0.06 0.06 0.07
"это" 0.08 0.09 0.1 0.12 0.09 0.04 0.04 0.06 0.06 0.09 0.06 0.09 0.07 0.04 0.05 0.08 0.04 0.1
"скоро" 0.02 0.02 0.04 0.03 0.04 0.04 0.07 0.08 0.07 0.05 0.07 0.04 0.2 0.18 0.24 0.02 0.03 0.05
"речь" 0.09 0.15 0.16 0.06 0.02 0.04 0.06 0.07 0.09 0.01 0.05 0.04 0.11 0.07 0.15 0.03 0.06 0.02
"голубушка" 0.15 0.11 0.15 0.11 0.12 0.07 0.06 0.07 0.09 0.01 0.01 0 0.03 0.06 0.06 0.1 0.03 0.03
"хоть" 0.08 0.09 0.08 0.07 0.08 0.09 0.06 0.07 0.08 0.06 0.09 0.05 0.07 0.11 0.07 0.02 0.03 0.06
"злой" 0.03 0.04 0.02 0.03 0.1 0.11 0.01 0.02 0.03 0.06 0.03 0.04 0.23 0.17 0.22 0.01 0.02 0.08
"небо" 0 0 0 0.01 0.02 0.01 0.01 0 0 0.26 0.23 0.21 0.2 0.13 0.16 0 0.01 0
"пить" 0.08 0.05 0.09 0.09 0.09 0.06 0.14 0.07 0.1 0.02 0.05 0.07 0 0.03 0 0.12 0.09 0.1
"хорошо" 0.09 0.09 0.09 0.05 0.05 0.1 0.12 0.08 0.14 0.02 0.03 0.02 0.07 0.05 0.04 0.1 0.05 0.06
"печаль" 0.11 0.11 0.06 0.06 0.01 0.07 0.07 0.1 0.08 0.04 0.07 0.03 0.13 0.06 0.08 0.05 0.05 0.06
"жениться" 0.12 0.17 0.15 0.04 0.11 0.1 0.08 0.06 0.05 0 0 0 0.01 0.05 0.03 0.04 0.12 0.1
"золотой" 0.06 0.08 0.08 0.06 0.04 0.04 0.03 0.02 0.01 0.06 0.07 0.05 0.12 0.11 0.08 0.13 0.11 0.08
"первый" 0.13 0.11 0.11 0.09 0.1 0.02 0.01 0.06 0.06 0.11 0.08 0.09 0.02 0.02 0.04 0.08 0.06 0.04
"куда" 0.09 0.12 0.08 0.05 0.06 0.04 0.03 0.03 0.07 0.05 0.02 0.03 0.05 0.11 0.09 0.12 0.12 0.06
"добро" 0.04 0.12 0.11 0.05 0.08 0.08 0.05 0.06 0.07 0.01 0.03 0.02 0.07 0.06 0.06 0.1 0.13 0.07
"сердечный" 0.05 0.04 0.05 0.05 0.06 0.02 0.08 0.09 0.13 0.05 0 0.01 0.16 0.15 0.09 0.02 0.06 0.1
"город" 0.08 0.09 0.07 0.1 0.08 0.11 0.04 0.05 0.04 0.05 0.02 0.03 0.04 0.05 0.05 0.09 0.1 0.08
"кудри" 0.06 0.06 0.04 0.11 0.07 0.08 0.07 0.1 0.15 0 0.01 0.01 0.05 0.08 0.07 0.08 0.03 0.1
"большой" 0.11 0.06 0.04 0.09 0.14 0.1 0.04 0.05 0.04 0.05 0.03 0.06 0.03 0.02 0.01 0.13 0.08 0.08
"глядеть" 0.09 0.07 0.08 0.05 0.07 0.03 0.03 0.07 0.05 0 0.06 0.06 0.07 0.08 0.09 0.09 0.11 0.05
"здесь" 0.01 0.02 0.01 0.03 0.03 0.03 0.05 0.08 0.05 0.19 0.23 0.15 0.05 0.05 0.07 0.06 0.02 0.01
"долго" 0.08 0.07 0.07 0.07 0.01 0.04 0.08 0.07 0.07 0.05 0.1 0.02 0.07 0.15 0.13 0 0.03 0.02
"сторонушка" 0.15 0.14 0.18 0.06 0.05 0.09 0.05 0.01 0.07 0 0 0 0.01 0.06 0.05 0.05 0.08 0.08
"красавица" 0.02 0.04 0.02 0.06 0.06 0.05 0.09 0.09 0.11 0.02 0.04 0.01 0.15 0.18 0.13 0.03 0.01 0.01
"ум" 0.09 0.07 0.07 0.01 0.03 0.03 0.06 0.09 0.07 0.1 0.1 0.09 0.03 0.05 0.04 0.07 0.05 0.07
"чтоб" 0.02 0.01 0.01 0.04 0.04 0 0.11 0.07 0.07 0.14 0.12 0.14 0.1 0.09 0.08 0.04 0.03 0.01
"такой" 0.08 0.05 0.09 0.07 0.06 0.05 0.05 0.06 0.05 0.04 0.05 0.07 0.04 0.08 0.08 0.04 0.08 0.07
"бежать" 0.04 0.05 0.04 0.09 0.07 0.11 0.09 0.06 0.04 0.08 0.07 0.07 0.06 0.07 0.05 0.01 0.02 0.08
"веселый" 0.04 0.04 0 0.06 0.06 0.06 0.11 0.1 0.13 0.05 0.02 0.09 0.08 0.06 0.1 0.02 0.05 0.03
"гореть" 0.04 0.05 0.07 0.05 0.05 0.08 0.03 0.04 0.07 0.04 0.04 0.08 0.13 0.09 0.09 0.04 0.03 0.07
"головушка" 0.07 0.08 0.05 0.08 0.07 0.09 0.05 0.05 0.08 0 0 0 0.04 0.09 0.06 0.09 0.07 0.11
"находить" 0.02 0.04 0.04 0.08 0.1 0.02 0.04 0.06 0.06 0.04 0.1 0.1 0.07 0.03 0.11 0.03 0.06 0.08
"шелковый" 0.07 0.06 0.07 0.09 0.1 0.08 0.11 0.08 0.11 0 0 0 0.06 0.01 0.01 0.07 0.09 0.07
"вставать" 0.08 0.07 0.08 0.02 0.06 0.07 0.12 0.12 0.08 0.05 0.01 0.03 0.01 0.03 0.04 0.05 0.1 0.05
"малый" 0.03 0.04 0.06 0.1 0.1 0.09 0.1 0.1 0.1 0.04 0.01 0 0.01 0.02 0.01 0.1 0.09 0.07
"тужить" 0.16 0.16 0.17 0.05 0.09 0.11 0.02 0.03 0.03 0 0 0 0.03 0.02 0 0.05 0.05 0.1
"проходить" 0.06 0.06 0.05 0.08 0.1 0.05 0.06 0.04 0.07 0.01 0.03 0.02 0.05 0.08 0.08 0.06 0.09 0.07
"солнце" 0.03 0.02 0.01 0.01 0.02 0 0.02 0.02 0.05 0.12 0.09 0.1 0.22 0.15 0.19 0.01 0 0
"вино" 0.06 0.08 0.08 0.1 0.01 0.09 0.08 0.08 0.07 0.03 0.05 0.01 0.02 0.01 0.02 0.05 0.06 0.15
"быстрый" 0.08 0.04 0.05 0.06 0.11 0.04 0.09 0.05 0.06 0.02 0.01 0 0.06 0.1 0.02 0.09 0.08 0.08
"солнышко" 0.08 0.03 0.03 0.04 0.02 0.05 0.06 0.07 0.06 0 0.01 0 0.16 0.11 0.2 0.06 0.04 0.02
"бедный" 0.03 0.06 0.05 0 0.01 0.02 0.06 0.06 0.1 0.07 0.07 0.03 0.14 0.15 0.14 0.01 0 0.03
"воля" 0.03 0.05 0.06 0.06 0.05 0.11 0.07 0.04 0.08 0.04 0.04 0.04 0.04 0.05 0.03 0.03 0.11 0.1
"поехать" 0.11 0.12 0.1 0.05 0.03 0.12 0.03 0.06 0.07 0.02 0.02 0.02 0.01 0.01 0.02 0.1 0.08 0.06
"алый" 0.06 0.06 0.05 0.08 0.06 0.05 0.13 0.06 0.1 0.03 0 0.02 0.03 0.07 0.05 0.05 0.04 0.08
"время" 0.02 0 0.04 0.03 0.02 0.06 0.05 0.04 0.02 0.1 0.08 0.11 0.1 0.1 0.08 0.03 0.07 0.07
"лететь" 0.04 0.03 0.03 0.03 0.03 0.07 0.07 0.05 0.06 0.04 0.08 0.07 0.08 0.1 0.1 0.04 0.04 0.06
"нога" 0.07 0.05 0.04 0.05 0.13 0.12 0.03 0.07 0.08 0.04 0.05 0.06 0.02 0.04 0.03 0.03 0.06 0.05
"сестра" 0.09 0.05 0.07 0.1 0.13 0.14 0.05 0.06 0.04 0.01 0.02 0 0.03 0.03 0.05 0.07 0.04 0.04
"буйный" 0.03 0.01 0.03 0.09 0.03 0.09 0.04 0.08 0.06 0.01 0.02 0.02 0.1 0.08 0.13 0.03 0.08 0.08
"дружка" 0.09 0.04 0.1 0 0 0 0.07 0.07 0.08 0 0 0.01 0.08 0.1 0.04 0.12 0.15 0.06
"час" 0.08 0.1 0.12 0.01 0.02 0.01 0.04 0.05 0.02 0.06 0.1 0.13 0.04 0.05 0.06 0.02 0.06 0.04
"беда" 0.01 0 0 0.05 0.02 0.03 0.06 0.08 0.07 0.06 0.03 0.09 0.1 0.13 0.14 0.05 0.03 0.05
"брать" 0.06 0.09 0.06 0.08 0.15 0.09 0.01 0.03 0.02 0.01 0.05 0.01 0.03 0.03 0.03 0.04 0.09 0.12
"путь" 0.07 0.03 0.05 0.08 0.05 0.05 0.03 0.05 0.04 0.07 0.11 0.12 0.06 0.02 0.08 0.05 0.03 0.01
"сизый" 0.09 0.12 0.11 0.11 0.12 0.08 0.06 0.03 0.04 0 0.01 0 0.02 0 0.01 0.04 0.09 0.07
"век" 0.05 0.06 0.05 0.03 0.06 0.04 0.04 0.07 0.01 0.05 0.07 0.03 0.08 0.16 0.13 0.03 0.01 0.02
"красота" 0.01 0.02 0.02 0.04 0.05 0.04 0.07 0.13 0.08 0.07 0.04 0.08 0.1 0.09 0.08 0.04 0.02 0.01
"сон" 0.03 0.04 0.01 0.03 0.03 0.03 0.07 0.07 0.05 0.09 0.1 0.17 0.06 0.06 0.04 0.01 0.03 0.07
"сударушка" 0.04 0.03 0.08 0.1 0.16 0.07 0.12 0.13 0.08 0 0 0 0.01 0.01 0 0.06 0.06 0.04
"бить" 0.05 0.02 0.03 0.11 0.09 0.07 0.09 0.12 0.05 0.01 0.01 0.05 0.02 0.02 0 0.09 0.08 0.07
"мысль" 0.1 0.11 0.07 0 0.05 0.06 0.04 0.04 0.04 0.08 0.11 0.08 0.03 0.04 0.01 0.05 0.04 0.03
"полюбить" 0.04 0.04 0.04 0.06 0.1 0.05 0.06 0.08 0.09 0.03 0 0.01 0.12 0.09 0.03 0.04 0.04 0.06
"кручина" 0.07 0.09 0.1 0.05 0.02 0.06 0.07 0.07 0.05 0.01 0 0.03 0.1 0.09 0.06 0.05 0.02 0.03
"купить" 0.08 0.03 0.03 0.05 0.14 0.1 0.1 0.04 0.08 0.01 0.01 0.01 0.02 0.01 0.01 0.05 0.1 0.1
"пускать" 0.05 0.02 0.05 0.12 0.1 0.1 0.08 0.09 0.07 0 0.03 0 0.02 0.01 0.01 0.05 0.06 0.11
"играть" 0.03 0.03 0.01 0.05 0.02 0.04 0.08 0.09 0.07 0.06 0.05 0.04 0.05 0.06 0.06 0.05 0.09 0.08
"или" 0.02 0.04 0.03 0.03 0.06 0.05 0.07 0.06 0.03 0.11 0.06 0.06 0.09 0.06 0.07 0.02 0.05 0.05
"парень" 0.05 0.08 0.05 0.12 0.11 0.12 0.05 0.04 0.03 0 0 0 0.02 0.02 0.01 0.11 0.1 0.05
"речка" 0.1 0.06 0.07 0.09 0.1 0.2 0 0.02 0 0 0 0 0.03 0.07 0.06 0.07 0.08 0.01
"убивать" 0.07 0.07 0.07 0.05 0.11 0.06 0.08 0.05 0.03 0 0.04 0.01 0.05 0.07 0.04 0.05 0.04 0.06
"голубь" 0.14 0.11 0.12 0.04 0.07 0.02 0.06 0.07 0.09 0 0.01 0 0.02 0.03 0.03 0.05 0.03 0.05
"дорожка" 0.06 0.04 0.08 0.1 0.18 0.08 0.04 0.01 0.02 0 0 0.01 0.04 0.02 0.05 0.04 0.07 0.1
"луг" 0.03 0.04 0.07 0.03 0.08 0.05 0.1 0.04 0.06 0.03 0.02 0.01 0.1 0.09 0.08 0.05 0.02 0.04
"мир" 0.02 0 0.01 0.02 0.01 0.01 0.05 0.04 0.06 0.18 0.2 0.16 0.04 0.03 0.09 0 0.02 0
"русый" 0.06 0.04 0.04 0.05 0.07 0.06 0.05 0.07 0.05 0 0.01 0 0.12 0.09 0.11 0.03 0.06 0.03
"дело" 0.04 0.03 0.04 0.05 0.03 0.03 0.15 0.19 0.15 0.05 0.04 0.04 0.03 0.01 0 0.02 0.01 0.02
"дом" 0.09 0.08 0.1 0.01 0.03 0.05 0.05 0.06 0.06 0.09 0.09 0.03 0.02 0.02 0.02 0.02 0.06 0.05
"ждать" 0.03 0.03 0.03 0.06 0.05 0.05 0.06 0.03 0.02 0.11 0.04 0.05 0.1 0.13 0.06 0.04 0.03 0.01
"соловей" 0.08 0.08 0.06 0.07 0.05 0.05 0.03 0.03 0.05 0.04 0.01 0.04 0.1 0.09 0.05 0.02 0.02 0.06
"полно" 0.06 0.03 0.07 0.06 0.07 0.02 0.06 0.1 0.09 0 0.01 0.02 0.06 0.03 0.07 0.05 0.04 0.08
"ехать" 0.06 0.07 0.06 0.08 0.08 0.1 0.02 0.04 0.03 0.01 0.02 0.01 0.04 0.03 0.02 0.07 0.11 0.06
"коса" 0.02 0.03 0.02 0.04 0.06 0.06 0.09 0.04 0.1 0.01 0.01 0.01 0.11 0.07 0.03 0.11 0.05 0.05
"огонь" 0.01 0.04 0.04 0.02 0.06 0.03 0.03 0.01 0.01 0.11 0.05 0.16 0.11 0.09 0.07 0.05 0 0.02
"бел" 0.08 0.06 0.07 0.09 0.06 0.09 0.06 0.06 0.07 0.01 0 0 0.03 0.03 0.02 0.12 0.03 0.02
"окошко" 0.1 0.09 0.12 0.08 0.05 0.05 0.06 0.04 0.06 0 0.01 0.01 0.01 0.02 0.06 0.06 0.02 0.06
"тогда" 0.03 0.01 0.02 0 0.01 0.02 0.02 0.04 0.03 0.11 0.12 0.04 0.11 0.12 0.16 0.03 0.01 0.01
"ее" 0.04 0.05 0.05 0.02 0.04 0.03 0.03 0.06 0.02 0.08 0.07 0.09 0.08 0.06 0.08 0.03 0.04 0.01
"иль" 0.02 0.01 0.01 0 0 0 0.05 0.05 0.03 0.11 0.15 0.11 0.07 0.13 0.12 0 0.02 0
"бывать" 0.04 0.07 0.06 0.06 0.04 0.02 0.1 0.05 0.08 0.05 0.03 0.06 0.03 0.04 0.02 0.02 0.05 0.05
"ночевать" 0.07 0.08 0.06 0.14 0.15 0.07 0.07 0.07 0.08 0 0 0.01 0 0 0.01 0.02 0.02 0.02
"весна" 0.03 0.04 0.02 0.02 0.01 0.08 0.03 0.02 0.01 0.06 0.09 0.04 0.09 0.14 0.13 0.02 0.02 0.01
"восходить" 0.05 0.07 0.09 0.07 0.04 0.07 0.07 0.04 0.03 0.02 0 0 0.05 0.05 0.01 0.04 0.08 0.08
"молодчик" 0.08 0.07 0.03 0.06 0.04 0.08 0.09 0.06 0.06 0 0 0 0.01 0.05 0.02 0.1 0.06 0.05
"синий" 0.04 0.06 0.04 0.06 0.05 0.07 0.03 0.02 0.04 0.01 0.03 0.03 0.06 0.07 0.03 0.08 0.05 0.09
"вдоль" 0.07 0.03 0.03 0.06 0.02 0.03 0.1 0.06 0.09 0.02 0.01 0.01 0.02 0.01 0 0.08 0.07 0.14
"вечер" 0.02 0.03 0.04 0.09 0.1 0.03 0.04 0.07 0.06 0.02 0.04 0.02 0.03 0.03 0.06 0.06 0.05 0.06
"рад" 0.11 0.08 0.07 0.03 0.04 0.03 0.05 0.05 0.07 0.03 0.04 0.02 0.01 0.01 0.02 0.08 0.07 0.04
"счастие" 0.01 0 0.01 0.01 0.02 0.01 0 0.03 0.03 0.06 0.13 0.14 0.19 0.1 0.1 0.01 0 0
"удалой" 0.02 0.04 0.08 0.05 0.04 0.09 0.05 0.04 0.05 0.01 0.02 0.01 0.02 0.05 0.03 0.11 0.05 0.09
"молвить" 0.02 0.04 0.04 0.03 0.04 0.01 0.09 0.1 0.1 0.01 0.07 0 0.08 0.06 0.06 0.05 0.01 0.03
"дороженька" 0.06 0.05 0.05 0.03 0.06 0.08 0.05 0.06 0.05 0 0 0 0.03 0.05 0.02 0.09 0.05 0.1
"который" 0.03 0.03 0.01 0.04 0.02 0.01 0.1 0.04 0.06 0.13 0.1 0.14 0.02 0.02 0.01 0.02 0.01 0.04
"царь" 0 0.01 0.01 0.02 0.02 0 0.02 0.04 0.06 0.17 0.15 0.15 0.01 0.01 0 0.07 0.04 0.05
"будто" 0.05 0.06 0.09 0.03 0.03 0.04 0.02 0.02 0.02 0.03 0.05 0.05 0.07 0.08 0.08 0.05 0.03 0.02
"прийти" 0.01 0.01 0 0.03 0.09 0.06 0.08 0.08 0.03 0.06 0.01 0.03 0.05 0.1 0.06 0.05 0.05 0.02
"цвет" 0 0 0 0.03 0.04 0.01 0.09 0.06 0.04 0.07 0.05 0.01 0.09 0.12 0.14 0.01 0.02 0.04
"князь" 0.01 0.05 0.01 0.06 0.08 0.08 0.01 0 0.01 0.06 0 0.03 0.01 0.01 0 0.14 0.12 0.13
"никто" 0 0.01 0.02 0.08 0.11 0.02 0.03 0.03 0.04 0.03 0.03 0.03 0.05 0.03 0.05 0.12 0.06 0.07
"прекрасный" 0.01 0 0.01 0.03 0.07 0.03 0.11 0.05 0.09 0.07 0.09 0.1 0.05 0.02 0.03 0.01 0.01 0.03
"садик" 0.13 0.08 0.16 0.07 0.09 0.07 0.02 0.02 0.01 0 0 0 0 0.01 0.03 0.03 0.03 0.06
"дочка" 0.11 0.15 0.11 0.09 0.05 0.07 0.02 0.02 0.03 0 0.01 0 0.01 0.03 0.01 0.05 0.03 0.01
"заря" 0.03 0.05 0.06 0.07 0.09 0.04 0.02 0.02 0.02 0.01 0.02 0.06 0.05 0.03 0.03 0.08 0.06 0.06
"правый" 0.06 0.06 0.07 0.1 0.07 0.1 0.04 0.02 0.03 0.01 0.02 0.02 0 0.01 0.01 0.07 0.06 0.05
"разум" 0.08 0.12 0.06 0.04 0.03 0.06 0.06 0.05 0.06 0.03 0.02 0.02 0.02 0.01 0.04 0.04 0.05 0.01
"платье" 0.09 0.08 0.07 0.04 0.03 0.06 0.05 0.06 0.06 0.02 0.02 0.02 0 0.03 0.02 0.06 0.03 0.05
"голубчик" 0.05 0.06 0.05 0.09 0.04 0.07 0.08 0.05 0.06 0 0 0 0.04 0.02 0.04 0.06 0.03 0.04
"частый" 0.06 0.04 0.04 0.08 0.06 0.06 0.08 0.08 0.05 0 0 0 0.03 0.02 0.02 0.07 0.05 0.04
"кровать" 0.11 0.05 0.09 0.06 0.03 0.04 0.1 0.07 0.11 0 0.02 0 0 0 0 0.05 0.02 0.02
"сей" 0.01 0.03 0.02 0 0 0 0.05 0.05 0.05 0.16 0.18 0.15 0.02 0.02 0.02 0 0.01 0
"крутой" 0.09 0.06 0.04 0.01 0.06 0.05 0.07 0.08 0.06 0.01 0.03 0 0.01 0.02 0.03 0.06 0.03 0.05
"через" 0.03 0.07 0.03 0.06 0.07 0.07 0.05 0.05 0.04 0.02 0.01 0.03 0.03 0.02 0.03 0.01 0.08 0.06
"видать" 0.01 0.04 0.01 0.1 0.03 0.04 0.04 0.05 0.05 0.03 0 0.02 0.07 0.05 0.11 0.05 0.05 0
"воротиться" 0.14 0.07 0.13 0.05 0.06 0.06 0.03 0.01 0.02 0.01 0 0 0.03 0.04 0.02 0.03 0.01 0.04
"тело" 0.06 0.09 0.07 0.1 0.09 0.08 0.04 0.03 0.01 0.03 0.02 0.02 0.02 0 0 0.02 0.04 0.03
"чтобы" 0.03 0.03 0.07 0.07 0.07 0.05 0.04 0.04 0.05 0.02 0.01 0.02 0.02 0.04 0.05 0.08 0 0.06
"бросать" 0.03 0.03 0.04 0.05 0.07 0.06 0.08 0.03 0.03 0.01 0.07 0.05 0.04 0.02 0.01 0.03 0.03 0.06
"верный" 0.01 0.03 0.02 0.05 0.02 0.02 0.01 0.03 0.01 0.05 0.09 0.03 0.08 0.03 0.08 0.09 0.05 0.04
"если" 0.05 0.04 0.04 0.03 0.03 0.02 0 0 0 0.09 0.05 0.06 0.12 0.04 0.05 0.03 0.03 0.06
"летать" 0.05 0.05 0.07 0.06 0.1 0.07 0.03 0.03 0.04 0.03 0.02 0.02 0.04 0.03 0.03 0.02 0.03 0.02
"окно" 0.06 0.04 0.04 0.06 0.04 0.04 0.05 0.05 0.07 0.03 0.05 0.02 0.05 0.03 0.04 0.02 0.02 0.03
"посылать" 0.04 0.06 0.08 0.05 0 0.07 0.05 0.05 0.04 0.01 0.02 0.04 0.02 0.03 0 0.06 0.09 0.03
"рано" 0.01 0.04 0.03 0.06 0.05 0.06 0.04 0.03 0.05 0.03 0.01 0.02 0.01 0.1 0.02 0.05 0.05 0.08
"слава" 0.05 0.01 0.03 0.03 0.02 0.02 0.04 0.01 0.03 0.12 0.13 0.11 0.02 0.02 0.03 0.03 0.02 0.02
"сладкий" 0.01 0.04 0.05 0.06 0.06 0.03 0.02 0.01 0 0.08 0.05 0.04 0.06 0.05 0.08 0.03 0.01 0.06
"туча" 0.03 0.03 0.02 0.02 0.01 0.01 0 0 0 0.04 0.06 0 0.13 0.18 0.18 0.01 0.02 0
"душечка" 0.06 0.08 0.04 0.01 0.06 0.06 0.06 0.09 0.08 0 0 0 0 0.01 0.02 0.05 0.05 0.06
"прежний" 0.04 0.03 0.03 0.02 0.03 0.02 0.05 0.06 0.06 0.03 0.04 0.04 0.05 0.05 0.06 0.02 0.06 0.04
"прощать" 0.02 0 0.03 0.01 0.07 0.03 0.07 0.06 0.03 0.08 0.07 0.07 0.03 0.04 0.02 0.04 0.04 0.02
"раз" 0.02 0.03 0.01 0.03 0 0.03 0.03 0.04 0.01 0.13 0.07 0.07 0.06 0.06 0.07 0.01 0.03 0.03
"ретивый" 0.1 0.02 0.05 0.03 0.02 0.06 0.03 0.01 0.03 0.01 0.03 0.02 0.06 0.09 0.09 0.04 0.03 0.01
"голос" 0 0 0.02 0.02 0.04 0.08 0.05 0.04 0.03 0.05 0.05 0.08 0.04 0.04 0.02 0.04 0.05 0.07
"дальний" 0.03 0.05 0.05 0.06 0.05 0.07 0.02 0.01 0 0.03 0.04 0.02 0.08 0.08 0.06 0.02 0 0.05
"нести" 0.07 0.08 0.03 0.05 0.03 0.04 0.02 0.03 0.02 0.02 0.07 0.06 0.01 0.02 0.03 0.04 0.04 0.06
"нету" 0.09 0.06 0.05 0.08 0.02 0.03 0.03 0.01 0.04 0 0 0 0.05 0.05 0.04 0.04 0.08 0.05
"ночка" 0.05 0.03 0.04 0.07 0.03 0.07 0.09 0.07 0.07 0 0 0 0.04 0.03 0.01 0.03 0.05 0.04
"спрашивать" 0.03 0.06 0.07 0.04 0.07 0.03 0.03 0.03 0.02 0.02 0.01 0 0.05 0.04 0.03 0.08 0.03 0.08
"теперь" 0.02 0.01 0 0.03 0.03 0.01 0.04 0.04 0.02 0.12 0.09 0.04 0.07 0.09 0.06 0.02 0.02 0.01
"звать" 0.02 0.01 0.04 0.05 0.05 0.03 0.04 0.02 0.02 0.04 0.09 0.05 0.03 0.04 0.01 0.09 0.03 0.05
"иной" 0.01 0.02 0.01 0.06 0.06 0.11 0.02 0.03 0.05 0.05 0 0.02 0.06 0.07 0.05 0.05 0.02 0.02
"песня" 0 0.01 0.02 0.01 0.02 0.02 0 0 0 0.06 0.04 0.06 0.12 0.11 0.15 0.03 0.03 0.03
"прочь" 0.03 0.02 0.06 0 0.02 0.03 0.11 0.09 0.15 0.02 0.01 0.02 0.02 0.04 0 0.02 0.03 0.04
"вдруг" 0.01 0.02 0.02 0.02 0 0.02 0.02 0.01 0.01 0.13 0.17 0.11 0.04 0.06 0.04 0.01 0 0.01
"дитятко" 0.09 0.17 0.1 0.04 0.05 0.04 0.02 0 0.02 0 0 0 0.02 0.03 0.03 0.02 0.05 0.02
"дорога" 0.01 0 0.01 0.05 0.03 0.06 0.01 0.04 0.06 0.01 0.04 0.02 0.08 0.06 0.05 0.04 0.07 0.06
"думать" 0.05 0.04 0.05 0.05 0.03 0.05 0.02 0.01 0.02 0.07 0.01 0.02 0.05 0.02 0.06 0.02 0.03 0.1
"сестрица" 0.07 0.08 0.1 0.06 0.02 0.03 0.02 0.02 0.03 0 0 0.02 0 0.01 0 0.1 0.06 0.08
"ваш" 0.01 0.04 0.05 0.01 0.01 0.04 0.03 0.03 0 0.1 0.09 0.16 0.01 0.03 0.01 0.01 0.04 0.02
"держать" 0.05 0.05 0.06 0.03 0.04 0.03 0.06 0.06 0.08 0.01 0.01 0.01 0.01 0.02 0.01 0.05 0.04 0.07
"ничто" 0.04 0.03 0.04 0.05 0.04 0.05 0.04 0.05 0.01 0.06 0.01 0.06 0.03 0.02 0.03 0.04 0.08 0.01
"окошечко" 0.04 0.05 0.05 0.04 0.06 0.03 0.08 0.06 0.09 0.01 0 0 0.01 0 0.01 0.03 0.08 0.05
"светлый" 0.03 0.02 0.03 0 0.01 0.01 0.03 0.02 0.03 0.1 0.07 0.06 0.08 0.08 0.07 0.02 0.01 0.02
"сударыня" 0.05 0.04 0.08 0.04 0.04 0.03 0.1 0.08 0.08 0 0 0 0 0 0.01 0.03 0.06 0.05
"целовать" 0.04 0.05 0.05 0.05 0.03 0.04 0.08 0.06 0.09 0 0 0 0.03 0.05 0.03 0.03 0.04 0.02
