id;Name;Title;Publication;Year;period;G_title;Comment;pub_year;pub_type;Meter;Regularity;Rhyme;Type;Meter2;Syllab;Clausula;Fin;melody;melody_src
159;Кольцов;Если встречусь с тобой;Московский наблюдатель. 1839. № 3. С. 6/ Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 46-47;1827;1820;Песня;;1839;periodical;Ан2м;reg;unrhymed;core;Ан;2;м;2;no;
160;Кольцов;Теперь ясней;Кольцов, А.В. Стихотворения Кольцова. СПб., 1846/ Кольцов, А.В. Полное собрание стихотворений. Л., 1958. C. 50-51;1828;1820;Размолвка;;1846;collection;Я2м;reg;unrhymed;periph;Я;2;м;2;no;
161;Кольцов;Ничто ничто на свете;Кольцов, А.В. Полное собрание стихотворений. Л., 1958. C. 56-57 (впервые в: издание 1936 г.);1829;1820;;;1936;collection;Я3жм;reg;unrhymed;periph;Я;3;жм;3;no;
162;Кольцов;Красавицы девушки;ОЗ. 1867. № 2. С. 820/ Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 73-75;1829;1820;Повесть моей любви;;1867;periodical;Х3д;unreg;unrhymed;periph;Х;3;д;3;no;
163;Кольцов;Что груди тяжельше;ОЗ. 1867. № 2. С. 817/ Кольцов, А.В. Полное собрание стихотворений. Л., 1958. C. 59;1829;1820;На отъезд Д.А. Кашкина в Одессу;;1867;periodical;Аф2жм;reg;unrhymed;periph;Аф;2;жм;2;no;
164;Кольцов;Увижу ль я девушку;ОЗ. 1867. № 2. С. 821/ Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 62-63;1829;1820;Песня;;1867;periodical;Аф2д;reg;unrhymed;core;Аф;2;д;2;no;
165;Кольцов;Скучно с жизнью старческой;Кольцов-1835. С. 40. Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 82;1830;1820;Совет старца;;1835;collection;Х3д;reg;unrhymed;periph;Х;3;д;3;no;
166;Кольцов;Я затеплю свечу;Литературная газета. 1831. № 34. С. 277. (Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 88-89);1830;1820;Перстень;;1831;periodical;Ан21мд;reg;unrhymed;core;Ан;21;мд;рз;no;
167;Кольцов;Оседлаю коня;Молва. 1835. № 11. С. 170/ Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 90-91;1830;1820;Песня старика;;1835;periodical;Ан21мд;reg;unrhymed;core;Ан;21;мд;рз;no;
168;Кольцов;Ну тащися сивка;Молва. 1835. № 11. С. 171/ Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С.95-96;1831;1830;Песня пахаря;;1835;periodical;Х3ж;unreg;unrhymed;periph;Х;3;ж;3;no;
169;Кольцов;Мне ли молодцу;Кольцов-1835.С. 8-9/ Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 103-105;1833;1830;Удалец;;1835;collection;Пс;reg;unrhymed;core;Пс;1;;Пс;no;
170;Кольцов;Не шуми ты рожь;Кольцов, А.В. Стихотврения, М., 1835. С. 18-19/ Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 106;1834;1830;Не шуми ты рожь;;1835;collection;Пс;reg;unrhymed;core;Пс;1;;Пс;no;
171;Кольцов;Не возьму я в толк;Телескоп. 1835. № 3. С. 295/ Кольцов, А.В. Полное собрание стихотворений. Л., 1958. С. 114-117;1836;1830;Косарь;;1835;periodical;Пс;reg;unrhymed;core;Пс;1;;Пс;no;
